	Tweet ID	Tweet	(1) Very Negative	(2) Negative	(3) Neutral	(4) Positive	(5) Strongly Positive	NA	Majority	masked_tweet	insert_tweet	num_vulgar
0	475918803491364864	<USER> taurus never bitter at an ex false i hope you all burn in hell	7	1	0	0	0	0	1	<USER> taurus never bitter at an ex false i hope you all burn in <VG>	<USER> taurus never bitter at an ex false i hope you all burn in hell <VG>	1
1	334994871460970496	welcome back kotter is a damn fine song	0	0	0	4	4	0	5	welcome back kotter is a <VG> fine song	welcome back kotter is a damn <VG> fine song	1
2	83307636119961601	oh hell no another jury summons time to help the oppressed stick it to the man	1	5	1	1	0	0	2	oh <VG> no another jury summons time to help the oppressed stick it to the man	oh hell <VG> no another jury summons time to help the oppressed stick it to the man	1
3	591039655589584896	i could cut a bitch right now tbh im so fuckin done	6	1	1	0	0	0	1	i could cut a <VG> right now tbh im so <VG> done	i could cut a bitch <VG> right now tbh im so fuckin <VG> done	2
4	238359274873573376	just busted the shit outta my knee tryna rush and get to this school	2	5	1	0	0	0	2	just busted the <VG> outta my knee tryna rush and get to this school	just busted the shit <VG> outta my knee tryna rush and get to this school	1
5	328553982106693635	<USER> device hell yeah come to find out david was in town last night...and around the corner i guess just passing through	0	2	5	1	0	0	3	<USER> device <VG> yeah come to find out david was in town last night...and around the corner i guess just passing through	<USER> device hell <VG> yeah come to find out david was in town last night...and around the corner i guess just passing through	1
6	808759076398239744	dick cheney poisoned hundreds of us troops in iraq  they're dying  and the media is silent <URL>	5	3	0	0	0	0	1	<VG> cheney poisoned hundreds of us troops in iraq  they're dying  and the media is silent <URL>	dick <VG> cheney poisoned hundreds of us troops in iraq  they're dying  and the media is silent <URL>	1
7	365870467812302848	81 tidioute coon skinner pocket knife in ebony wood <URL>	0	2	5	0	0	1	3	81 tidioute <VG> skinner pocket knife in ebony wood <URL>	81 tidioute coon <VG> skinner pocket knife in ebony wood <URL>	1
8	68446550111690753	convinced twitter is contributing to my adult adhd flareup too damn much information crazylife	0	5	3	0	0	0	2	convinced twitter is contributing to my adult adhd flareup too <VG> much information crazylife	convinced twitter is contributing to my adult adhd flareup too damn <VG> much information crazylife	1
9	287621889805922304	boy for a guy that doesn't even start eli carter sure is an arrogant a-hole. an early hard foul would've settled him down next time pitt	2	5	1	0	0	0	2	boy for a guy that doesn't even start eli carter sure is an arrogant a-hole. an early hard foul would've settled him down next time pitt	boy for a guy that doesn't even start eli carter sure is an arrogant a-hole. <VG> an early hard foul would've settled him down next time pitt	1
10	331928647457968128	bouta shut this nigga all the way down	5	3	0	0	0	0	1	bouta shut this <VG> all the way down	bouta shut this nigga <VG> all the way down	1
11	127862126491615233	<USER> at least you found it and who better the dick van dyke to take care of it 	0	0	3	3	1	1	3	<USER> at least you found it and who better the <VG> van <VG> to take care of it 	<USER> at least you found it and who better the dick <VG> van dyke <VG> to take care of it 	2
12	72894608023101440	we go to all the same parties and you don't know my name it's probably cuz i never won a damn football game shesdope	0	4	2	1	1	0	2	we go to all the same parties and you don't know my name it's probably cuz i never won a <VG> football game shesdope	we go to all the same parties and you don't know my name it's probably cuz i never won a damn <VG> football game shesdope	1
13	333084927258157057	<USER> <USER> or a whore house	1	5	2	0	0	0	2	<USER> <USER> or a <VG> house	<USER> <USER> or a whore <VG> house	1
14	301129240437477376	oh hello random ass dude knocking on my door sketch	1	2	4	1	0	0	3	oh hello random <VG> dude knocking on my door sketch	oh hello random ass <VG> dude knocking on my door sketch	1
15	451966770488676352	the great punta worsewrestlers	1	3	2	2	0	0	3	the great <VG> worsewrestlers	the great punta <VG> worsewrestlers	1
16	253674186457878528	oh shit guys a republican just said we need regulation endtimes	1	5	2	0	0	0	2	oh <VG> guys a republican just said we need regulation endtimes	oh shit <VG> guys a republican just said we need regulation endtimes	1
17	609063584392331264	i mutha fuckin knew he was gonna flip the script too bad i was prepared	1	4	1	1	1	0	2	i mutha <VG> knew he was gonna flip the script too bad i was prepared	i mutha fuckin <VG> knew he was gonna flip the script too bad i was prepared	1
18	310425529717227520	alright american beauty show get ready for this car full of shit shows	0	5	0	2	0	0	2	alright american beauty show get ready for this car full of <VG> shows	alright american beauty show get ready for this car full of shit <VG> shows	1
19	620281439662112768	<USER> <USER> the one time i'm not in san diego this shit happens i wish i was there	0	3	4	0	0	0	3	<USER> <USER> the one time i'm not in san diego this <VG> happens i wish i was there	<USER> <USER> the one time i'm not in san diego this shit <VG> happens i wish i was there	1
20	943146586925871104	gotta download all my porn to my phone before this net neutrality shit come cause i refuse to pay  boy y'all imag <URL>	0	2	4	1	0	0	3	gotta download all my porn to my phone before this net neutrality <VG> come cause i refuse to pay  boy y'all imag <URL>	gotta download all my porn to my phone before this net neutrality shit <VG> come cause i refuse to pay  boy y'all imag <URL>	1
21	25945404126	random musings at 3 am aren't exactly what my kids are hoping i'll tweet but what the hell can't have them the only ones confused	0	1	5	1	0	0	3	random musings at 3 am aren't exactly what my kids are hoping i'll tweet but what the <VG> can't have them the only ones confused	random musings at 3 am aren't exactly what my kids are hoping i'll tweet but what the hell <VG> can't have them the only ones confused	1
22	745204612475527172	hey bitch ambrose is your world champion <URL>	0	0	2	5	0	0	4	hey <VG> ambrose is your world champion <URL>	hey bitch <VG> ambrose is your world champion <URL>	1
23	35123456135790592	things change so quickly  its like ok  i know what ima do  wait  what what just happen?....o well fuck my plan then	0	4	3	0	0	0	2	things change so quickly  its like ok  i know what ima do  wait  what what just happen?....o well <VG> my plan then	things change so quickly  its like ok  i know what ima do  wait  what what just happen?....o well fuck <VG> my plan then	1
24	822861009669029888	i liked a <USER> video <URL> between heaven amp hell  official	0	0	3	4	0	0	4	i liked a <USER> video <URL> between heaven amp <VG>  official	i liked a <USER> video <URL> between heaven amp hell <VG>  official	1
25	935499687104311301	<USER>  see this is why i miss being on a message board with you you've always showed me shit i never kn <URL>	0	0	2	5	0	0	4	<USER>  see this is why i miss being on a message board with you you've always showed me <VG> i never kn <URL>	<USER>  see this is why i miss being on a message board with you you've always showed me shit <VG> i never kn <URL>	1
26	724636965530832896	disgusted now that we'll have to hear about tom brady every damn day again the nfl is a joke	0	7	0	0	0	0	2	disgusted now that we'll have to hear about tom brady every <VG> day again the nfl is a joke	disgusted now that we'll have to hear about tom brady every damn <VG> day again the nfl is a joke	1
27	777851288545484800	<USER> <USER> i'm too nice  i'm a pussy	1	5	2	0	0	0	2	<USER> <USER> i'm too nice  i'm a <VG>	<USER> <USER> i'm too nice  i'm a pussy <VG>	1
28	823402814391156736	i sure as hell hope you don't teach the same way you coach especially the way you failed to coach me	4	4	0	0	0	0	2	i sure as <VG> hope you don't teach the same way you coach especially the way you failed to coach me	i sure as hell <VG> hope you don't teach the same way you coach especially the way you failed to coach me	1
29	635988190231330816	damn rip justin wilson indycar	1	2	4	0	1	0	3	<VG> rip justin wilson indycar	damn <VG> rip justin wilson indycar	1
30	777233543743279104	science it works bitches <URL>	0	0	1	7	0	0	4	science it works <VG> <URL>	science it works bitches <VG> <URL>	1
31	939247123710795776	and yet another departs the iq45 already dina powell deputy national security adviser to depart trump white ho <URL>	0	1	6	0	0	1	3	and yet another departs the iq45 already dina powell deputy national security adviser to depart trump white <VG> <URL>	and yet another departs the iq45 already dina powell deputy national security adviser to depart trump white ho <VG> <URL>	1
32	900225931700297728	it's a shitty feeling realizing one of your best friends is actually a shitty friend  i trusted u again man	4	4	0	0	0	0	2	it's a <VG> feeling realizing one of your best friends is actually a <VG> friend  i trusted u again man	it's a shitty <VG> feeling realizing one of your best friends is actually a shitty <VG> friend  i trusted u again man	2
33	304980964331905024	since when did we have to wear skirts amp bikinis to sell food do you really think they will buy more food if my ass is hanging out ugh	4	3	1	0	0	0	1	since when did we have to wear skirts amp bikinis to sell food do you really think they will buy more food if my <VG> is hanging out ugh	since when did we have to wear skirts amp bikinis to sell food do you really think they will buy more food if my ass <VG> is hanging out ugh	1
34	835321650937806849	i liked a <USER> video <URL> shitty policeman	1	0	5	2	0	0	3	i liked a <USER> video <URL> <VG> policeman	i liked a <USER> video <URL> shitty <VG> policeman	1
35	589254204297977856	damn meredith	1	3	2	1	1	0	3	<VG> meredith	damn <VG> meredith	1
36	321800085308571648	<USER> mind fuck	4	2	2	0	0	0	1	<USER> mind <VG>	<USER> mind fuck <VG>	1
37	606268487196123136	being so much of an ass with your team down four runs that you cause the benches to clear totalcubsmove	4	3	1	0	0	0	1	being so much of an <VG> with your team down four runs that you cause the benches to clear totalcubsmove	being so much of an ass <VG> with your team down four runs that you cause the benches to clear totalcubsmove	1
38	507771693851373568	<USER> omg there's so much shit just in this little snippet my brain asplode	1	4	2	0	1	0	2	<USER> omg there's so much <VG> just in this little snippet my brain asplode	<USER> omg there's so much shit <VG> just in this little snippet my brain asplode	1
39	856885124838850561	time to get my shit together	0	1	2	5	0	0	4	time to get my <VG> together	time to get my shit <VG> together	1
40	699424339695902720	hell to the yes <USER> grammys	0	0	0	4	4	0	5	<VG> to the yes <USER> grammys	hell <VG> to the yes <USER> grammys	1
41	733024829268463617	<USER> <USER> don't even know what to say except special place in hell	4	4	0	0	0	0	2	<USER> <USER> don't even know what to say except special place in <VG>	<USER> <USER> don't even know what to say except special place in hell <VG>	1
42	149040624807579648	fuck niggers	7	1	0	0	0	0	1	<VG> <VG>	fuck <VG> niggers <VG>	2
43	6258505266	do you have frugal fatigue created by dick outcalt grinchless in seattle is my latest seattle business article <URL>	3	0	4	0	0	1	3	do you have frugal fatigue created by <VG> outcalt grinchless in seattle is my latest seattle business article <URL>	do you have frugal fatigue created by dick <VG> outcalt grinchless in seattle is my latest seattle business article <URL>	1
44	494659815012986881	looks like this week's main episode is stuck in youtube processing hell	1	7	0	0	0	0	2	looks like this week's main episode is stuck in youtube processing <VG>	looks like this week's main episode is stuck in youtube processing hell <VG>	1
45	625234481281110016	piss off wanker	3	4	1	0	0	0	2	<VG> off wanker	piss <VG> off wanker	1
46	513832258734915584	<USER> i look forward to watching you race bad ass so thanku	0	0	2	4	2	0	4	<USER> i look forward to watching you race bad <VG> so thanku	<USER> i look forward to watching you race bad ass <VG> so thanku	1
47	151773664185028608	<USER> thanks i don't think dopey and shit head would appreciate something so nice	1	3	2	2	0	0	3	<USER> thanks i don't think dopey and <VG> head would appreciate something so nice	<USER> thanks i don't think dopey and shit <VG> head would appreciate something so nice	1
48	3695189386	<USER> only one ass grab id be doing it all day	1	0	4	3	0	0	3	<USER> only one <VG> grab id be doing it all day	<USER> only one ass <VG> grab id be doing it all day	1
49	861737933631520768	<USER> this is also true i shouldnt pick a fight bc honestly i eat like shit frozen pizza and subway is like <URL>	0	3	5	0	0	0	3	<USER> this is also true i shouldnt pick a fight bc honestly i eat like <VG> frozen pizza and subway is like <URL>	<USER> this is also true i shouldnt pick a fight bc honestly i eat like shit <VG> frozen pizza and subway is like <URL>	1
